index	label	sentence	POS	w_index	target	word_sense	definition	metaphor_flag	target_domain	tenor
a7w-fragment01 11	1	"In a desperately competitive climate, where anyone bright and competent could go down the road and pick up a better paid job with kinder hours and more congenial working conditions from someone like British Telecom, the railways ran a service dependent on people who belonged to a narrow and inbred working culture, with outdated procedures of training and promotion, and an institutional reliance on overtime working, whose wholly disgraceful dimensions are symbolised by the fact that maximum weekly hours were only recently cut to 72 hours a week."	NOUN	51	"culture,"	all the knowledge and values shared by a society	"The arts, customs, lifestyles, background, and habits that characterize a particular society or nation."	1	organism	a narrow and inbred working environment with outdated practices
a7w-fragment01 11	1	"In a desperately competitive climate, where anyone bright and competent could go down the road and pick up a better paid job with kinder hours and more congenial working conditions from someone like British Telecom, the railways ran a service dependent on people who belonged to a narrow and inbred working culture, with outdated procedures of training and promotion, and an institutional reliance on overtime working, whose wholly disgraceful dimensions are symbolised by the fact that maximum weekly hours were only recently cut to 72 hours a week."	NOUN	69	dimensions	the magnitude of something in a particular direction (especially length or width or height)	A single aspect of a given thing.	1	size	extent or scale of the problem
a7w-fragment01 16	1	"Government fixes the format in which BR has to work; and if, as the Hidden report attests, many of its problems today reflect lack of past planning, lack of farsighted investment, living from hand to mouth, then that is not just BR's doing."	NOUN	3	format	the general appearance of a publication	The layout of a publication or document.	1	publication	the prescribed structure or framework for operations
a7w-fragment01 16	1	"Government fixes the format in which BR has to work; and if, as the Hidden report attests, many of its problems today reflect lack of past planning, lack of farsighted investment, living from hand to mouth, then that is not just BR's doing."	NOUN	33	hand	place into the hands or custody of	"The part of the forelimb below the forearm or wrist in a human, and the corresponding part in many other animals."	1	hand	immediate or short-term needs
a7w-fragment01 16	1	"Government fixes the format in which BR has to work; and if, as the Hidden report attests, many of its problems today reflect lack of past planning, lack of farsighted investment, living from hand to mouth, then that is not just BR's doing."	NOUN	35	"mouth,"	the opening through which food is taken in and vocalizations emerge	The opening of a creature through which food is ingested.	1	mouth	immediate or short-term needs
a7w-fragment01 28	1	There are three key causes of the shambles: Mr Kenneth Clarke; the failure to separate emergency from non-emergency work; and the Whitley Council negotiating machinery.	NOUN	7	shambles:	walking with a slow dragging motion without lifting your feet	"One of a succession of niches or platforms, one above another, to hold ore which is thrown successively from platform to platform, and thus raised to a higher level."	1	mess	a state of total disorder or confusion
a7w-fragment01 34	1	"Mr Clarke has been indulging in just that himself, putting up the luckless Duncan Nichol, chief executive of the health service, to take the initial flak under the pretence that the dispute is not his direct responsibility."	NOUN	25	flak	a slick spokesperson who can turn any criticism to the advantage of their employer	Ground-based anti-aircraft guns firing explosive shells.	1	artillery	criticism or blame directed at someone
a7w-fragment01 44	1	He is right to pursue this line.	NOUN	6	line.	text consisting of a row of words written across a page or computer screen	"A path through two or more points ; a continuous mark, including as made by a pen; any path, curved or straight."	1	path	a course of action or reasoning
a7w-fragment01 46	1	The ramshackle Whitley Council negotiating machinery is the other reason why the ambulance workers have lost out.	NOUN	5	machinery	machines or machine systems collectively	"The machines constituting a production apparatus, in a plant etc., collectively."	1	machinery	the bureaucratic or administrative system of negotiation
a7w-fragment01 47	1	"Until this year, the three independent review bodies which make recommendations for nurses, doctors and the professions allied to medicine have given much higher awards than the Whitley Councils."	NOUN	7	bodies	"the entire structure of an organism (an animal, plant, or human being)"	Physical frame.	1	organism	independent review organizations
a7w-fragment01 61	1	"Unless they can say something relevant in the next four days, the many Hong Kong critics who believe the visit is a waste of dollars will be absolutely right."	NOUN	22	waste	any materials unused and rejected as worthless or unwanted	"Excess of material, useless by-products or damaged, unsaleable products; garbage; rubbish."	1	garbage	inefficient or unnecessary use of resources (money)
a7w-fragment01 62	1	"It did not help at all that upon arrival yesterday the royal couple instantly touched base in that comforting symbol of past British power, the Hong Kong and Shanghai Bank."	NOUN	15	base	installation from which a military force initiates operations	Something from which other things extend; a foundation.	1	military	a foundation or starting point for further activities
a7w-fragment01 62	1	"It did not help at all that upon arrival yesterday the royal couple instantly touched base in that comforting symbol of past British power, the Hong Kong and Shanghai Bank."	NOUN	19	symbol	an arbitrary sign (written or printed) that has acquired a conventional significance	"A character or glyph representing an idea, concept or object."	1	emblem	a comforting representation of past British power
a7w-fragment01 62	1	"It did not help at all that upon arrival yesterday the royal couple instantly touched base in that comforting symbol of past British power, the Hong Kong and Shanghai Bank."	NOUN	23	"power,"	possession of controlling influence	Ability to do or undergo something.	1	symbol	past British power
a7w-fragment01 63	1	If there is a failure of imagination to use the royal visit creatively it will also be a failure of nerve.	NOUN	4	failure	an event that does not accomplish its intended purpose	"State or condition of not meeting a desirable or intended objective, opposite of success."	1	collapse	inability to act or perform as desired
a7w-fragment01 64	1	Britain still can not decide when to play the mandarinate game of silence with the Chinese and when to break the rules( as Beijing does all the time.)	NOUN	10	game	(games) the score at a particular point or the score needed to win	A playful or competitive activity.	1	game	diplomatic strategy or interaction
a7w-fragment01 64	1	Britain still can not decide when to play the mandarinate game of silence with the Chinese and when to break the rules( as Beijing does all the time.)	NOUN	21	rules(	prescribed guide for conduct or action	"A regulation, law, guideline."	1	game	prescribed guide for conduct or action in diplomatic interactions
a7w-fragment01 67	1	China claims that the Hong Kong Government recently gave a written commitment to limit the activities of the pro-democracy movement in the territory.	NOUN	19	movement	a change of position that does not entail a change of location	Physical motion between points in space.	1	motion	political activism or collective efforts for democratic reform
a7w-fragment01 69	1	"In a tone of meek appeasement, the letter draws attention to the arrest by Hong Kong police of anti-China demonstrators outside the agency's National Day reception."	NOUN	5	"appeasement,"	"appeasement,"	The state of being appeased; the policy of giving in to demands in order to preserve the peace.	1	submission	the policy of giving in to demands in order to preserve the peace
a7w-fragment01 72	1	Meanwhile the flood of letters of a very different sort from anxious Hong Kong citizens to this and every other newspaper office continues.	NOUN	2	flood	the rising of a body of water and its overflowing onto normally dry land	A  overflow of water from a lake or other body of water due to excessive rainfall or other input of water.	1	water	a large and overwhelming quantity of letters
a7t-fragment01 1	1	The US sets its compass on two trading oceans Notebook.	NOUN	4	compass	navigational instrument for finding directions	A magnetic or electronic device used to determine the cardinal directions .	1	direction	strategic focus or policy orientation
a7t-fragment01 3	1	CANBERRA may seem an awful long way from exchanges on the floor of the House of Commons over the European Monetary System.	NOUN	8	exchanges	the act of giving something in return for something received	An act of exchanging or trading.	1	trading	verbal debates or discussions
a7t-fragment01 5	1	"The first, albeit tenative, steps towards forming a new Pacific-based economic union display an astute awareness of the way events are moving within Europe: movements with which Number 10 has yet to come to grips."	NOUN	4	steps	support consisting of a place to rest the foot while ascending or descending a stairway	An advance or movement made from one foot to the other; a pace.	1	walking	initial actions or progress toward forming an economic union
a7t-fragment01 5	1	"The first, albeit tenative, steps towards forming a new Pacific-based economic union display an astute awareness of the way events are moving within Europe: movements with which Number 10 has yet to come to grips."	NOUN	24	movements	a natural event that involves a change in the position or location of something	Physical motion between points in space.	1	motion	changes or developments in political or economic situations
a7t-fragment01 6	1	"Not so long ago it seemed as if the world was to divide into three main trading blocks: the EC based around the West German economy; a Northern American block based around the US-Canadian free trade area, and a Pacific unit incorporating the Asian tigers with Japan and the yen at the centre."	NOUN	17	blocks:	a solid piece of something (usually having flat rectangular sides)	"A substantial, often approximately cuboid, piece of any substance."	1	blocks	major trading regions or economic alliances
a7t-fragment01 6	1	"Not so long ago it seemed as if the world was to divide into three main trading blocks: the EC based around the West German economy; a Northern American block based around the US-Canadian free trade area, and a Pacific unit incorporating the Asian tigers with Japan and the yen at the centre."	NOUN	29	block	interrupt the normal function of by means of anesthesia	"A substantial, often approximately cuboid, piece of any substance."	1	building	a major economic or political grouping
a7t-fragment01 6	1	"Not so long ago it seemed as if the world was to divide into three main trading blocks: the EC based around the West German economy; a Northern American block based around the US-Canadian free trade area, and a Pacific unit incorporating the Asian tigers with Japan and the yen at the centre."	NOUN	40	unit	an organization regarded as part of a larger social group	"Oneness, singularity, seen as a component of a whole number; a magnitude of one."	1	component	a cohesive economic or political group within a larger system
a7t-fragment01 6	1	"Not so long ago it seemed as if the world was to divide into three main trading blocks: the EC based around the West German economy; a Northern American block based around the US-Canadian free trade area, and a Pacific unit incorporating the Asian tigers with Japan and the yen at the centre."	NOUN	44	tigers	large feline of forests in most of Asia having a tawny coat with black stripes; endangered	"Panthera tigris, a large predatory mammal of the cat family, indigenous to Asia."	1	predators	rapidly growing Asian economies with aggressive export-driven growth strategies
a7t-fragment01 7	1	"But the Metternich-like skills of the US Secretary of State, Mr James Baker, are ensuring that America maintains a strong stake in each forum."	NOUN	20	stake	the money risked on a gamble	"A piece of wood or other material, usually long and slender, pointed at one end so as to be easily driven into the ground as a marker or a support or stay."	1	gamble	America's strong interest or involvement in each forum
a7t-fragment01 10	1	Now it is making a third bid for influence.	NOUN	6	bid	propose a payment	"An offer at an auction, or to carry out a piece of work."	1	auction	attempt to gain influence
a7t-fragment01 12	1	"Preliminary steps taken to conduct studies on trade, technology and investment flows in the region may seem insignificant."	NOUN	1	steps	support consisting of a place to rest the foot while ascending or descending a stairway	An advance or movement made from one foot to the other; a pace.	1	journey	preliminary actions taken to conduct studies
a7t-fragment01 15	1	"If the more economically puny ASEAN countries( Indonesia, Malaysia, Singapore, Brunei, Thailand and the Philippines) were to bury their reservations, then the high growth from other partners, including such tigers as Thailand and South Korea alongside the more mature economies of Japan and Australia, could mean a dynamic coalition."	NOUN	19	"reservations,"	the act of reserving (a place or passage) or engaging the services of (a person or group)	"The act of reserving, withholding or keeping back."	1	burial	the act of letting go of or abandoning their hesitations or objections
a7t-fragment01 15	1	"If the more economically puny ASEAN countries( Indonesia, Malaysia, Singapore, Brunei, Thailand and the Philippines) were to bury their reservations, then the high growth from other partners, including such tigers as Thailand and South Korea alongside the more mature economies of Japan and Australia, could mean a dynamic coalition."	NOUN	29	tigers	large feline of forests in most of Asia having a tawny coat with black stripes; endangered	"Panthera tigris, a large predatory mammal of the cat family, indigenous to Asia."	1	tigers	rapidly growing and economically powerful countries
a7t-fragment01 18	1	THE QUESTION of just who would even want to be a partner with the US was underlined last night as the American Administration headed for default for the first time in its history.	NOUN	11	partner	a person who is a member of a partnership	One of each halves of a pair of someone or something that belongs together.	1	ally	a country or entity in a cooperative political or economic relationship with the US
a7t-fragment01 19	1	Congress was frantically trying to complete a bill raising the federal debt ceiling in time for President Bush to sign today.	NOUN	12	ceiling	the overhead upper surface of a covered space	The overhead closure of a room.	1	room	maximum allowable limit of federal debt
a7t-fragment01 20	1	Leaders on Capitol Hill virtually put all other business on hold as it sought to hammer out a debt ceiling increase.	NOUN	19	ceiling	the overhead upper surface of a covered space	The overhead closure of a room.	1	room	maximum allowable limit of national debt
a7t-fragment01 23	1	"As a result of the stalemate, the Treasury has been forced to postpone $40billion in debt auctions this week."	NOUN	5	"stalemate,"	subject to a stalemate	"The state in which the player to move is not in check but has no legal moves, resulting in a draw."	1	chess	a deadlock or impasse in negotiations or progress
a7t-fragment01 26	1	"At a press conference to mark his election victory a year ago, Mr Bush threatened to veto the budget unless it contained real cuts."	NOUN	23	cuts.	the act of cutting something into parts	The act of cutting.	1	surgery	reductions in budget spending
a7t-fragment01 27	1	Otherwise Congress would have to face the consequences of automatic across-the-board cuts under the Gramm-Rudman-Hollings budget deficit reduction law.	NOUN	11	cuts	a wound made by cutting	The act of cutting.	1	wound	budget reductions
a7t-fragment01 28	1	"America may have changed Presidents a year ago, but the fiscal thicket remains as inpenetrable as ever."	NOUN	11	thicket	thicket	"A dense, but generally small, growth of shrubs, bushes or small trees; a copse."	1	thicket	complex and difficult-to-navigate fiscal situation
a7t-fragment01 31	1	Ministers have already had to pull Britain's fleet of Magnox reactors out of the float and delay the sell-off date by up to six months.	NOUN	7	fleet	group of aircraft operating together under the same ownership	A group of vessels or vehicles.	1	vessels	group of nuclear reactors
a7t-fragment01 31	1	Ministers have already had to pull Britain's fleet of Magnox reactors out of the float and delay the sell-off date by up to six months.	NOUN	14	float	something that floats on the surface of water	A buoyant device used to support something in water or another liquid.	1	buoyancy	temporary operational state or financial limbo
a7t-fragment01 32	1	But it has now become clear that further drastic amendments are needed to flotation plans.	NOUN	13	flotation	the phenomenon of floating (remaining on the surface of a liquid without sinking)	"A state of floating, or being afloat."	1	buoyancy	the financial process of launching a company on the stock market
a7t-fragment01 33	1	"After months of turning deaf ears to warnings by the City and industry, the Department of Energy has at last conceded that nuclear plant can not be included in the share float without state support."	NOUN	5	ears	the sense organ for hearing and equilibrium	"The organ of hearing, consisting of the pinna, auditory canal, eardrum, malleus, incus, stapes and cochlea."	1	ears	willingness to listen or respond to warnings
a7t-fragment01 33	1	"After months of turning deaf ears to warnings by the City and industry, the Department of Energy has at last conceded that nuclear plant can not be included in the share float without state support."	NOUN	31	float	something that floats on the surface of water	A buoyant device used to support something in water or another liquid.	1	buoyancy	the process of offering shares for public sale
a7t-fragment01 35	1	"Whatever the outcome, the Government's willingness to continue pushing through the float during this Parliament shows how ministers are prepared to put political expediency before the interests of the industry."	NOUN	11	float	something that floats on the surface of water	A buoyant device used to support something in water or another liquid.	1	buoyancy	the process of introducing a company's shares to the stock market for public trading
a7t-fragment01 36	1	For the nuclear element in electricity privatisation is the coping stone on which the flotation plans are based.	NOUN	3	element	an artifact that is one of the individual parts of which a composite entity is made up; especially a part that can be separated from or attached to a system	"One of the simplest or essential parts or principles of which anything consists, or upon which the constitution or fundamental powers of anything are based."	1	foundation	essential part or principle upon which something is based
a7t-fragment01 36	1	For the nuclear element in electricity privatisation is the coping stone on which the flotation plans are based.	NOUN	10	stone	material consisting of the aggregate of minerals like those making up the Earth's crust	A hard earthen substance that can form large rocks.	1	foundation	the essential or central element supporting the flotation plans
a7t-fragment01 36	1	For the nuclear element in electricity privatisation is the coping stone on which the flotation plans are based.	NOUN	14	flotation	the phenomenon of floating (remaining on the surface of a liquid without sinking)	"A state of floating, or being afloat."	1	buoyancy	the financial viability or success of the privatisation plans
a7t-fragment01 37	1	National Power was given 70 per cent of the CEGB's generating capacity in order to give it an economic mix of power.	NOUN	19	mix	combine (electronic signals)	The result of mixing two or more substances; a mixture.	1	mixture	balanced combination of different types of power generation
a7t-fragment01 40	1	Electricity privatisation needs to go back to the drawing board.	NOUN	8	drawing	"represent by making a drawing of, as with a pencil, chalk, etc. on a surface"	"A picture, likeness, diagram or representation, usually drawn on paper."	1	blueprint	the planning or conceptual stage of a project
a7t-fragment01 40	1	Electricity privatisation needs to go back to the drawing board.	NOUN	9	board.	board.	"A relatively long, wide and thin piece of any material, usually wood or similar, often for use in construction or furniture-making."	1	drawing	initial planning or design stage of a project
a7t-fragment01 41	1	"At the very least, the CEGB should be divided into a wider range of generating companies to stimulate competition."	NOUN	12	range	the limits within which something can be effective	"A line or series of mountains, buildings, etc."	1	mountains	a variety or assortment of generating companies
a7t-fragment01 42	1	Is it worth sacrificing the long-term future of Britain's biggest stateowned industry to make political capital in the run-up to the next election?	NOUN	15	capital	a seat of government	"Already-produced durable goods available for use as a factor of production, such as steam shovels  and office buildings ."	1	money	political advantage or gain
a7t-fragment01 42	1	Is it worth sacrificing the long-term future of Britain's biggest stateowned industry to make political capital in the run-up to the next election?	NOUN	18	run-up	cover by running; run a certain distance	The approach run of a bowler before delivering the ball	1	approach	the period leading up to the next election
a1u-fragment04 55	1	An atmosphere poisoned by mistrust	NOUN	1	atmosphere	the weather or climate at some place	The gases surrounding the Earth or any astronomical body.	1	poison	the social or emotional environment filled with mistrust
a1u-fragment04 70	1	"Plus a backdrop of houses covering the valley walls on either side, a reminder that wherever industrialised societies decide to deal with their most intractable problems, they are unlikely to find a place to do so which is not in somebody's back yard."	NOUN	2	backdrop	backdrop	A decorated cloth hung at the back of a stage.	1	stage	the surrounding environment or context in which societal problems are addressed
a1u-fragment04 70	1	"Plus a backdrop of houses covering the valley walls on either side, a reminder that wherever industrialised societies decide to deal with their most intractable problems, they are unlikely to find a place to do so which is not in somebody's back yard."	NOUN	42	yard.	an area having a network of railway tracks and sidings for storage and maintenance of cars and engines	"A small, usually uncultivated area adjoining or  within the precincts of a house or other building."	1	backyard	"a place of personal or local concern, often where unwanted problems are addressed"
a1u-fragment04 76	1	"In doing so, they underlined a fact which is likely to attract more and more attention as tankers continue to shift toxins from town to town, country to country: the waste chain is long."	NOUN	31	chain	a series of (usually metal) rings or links fitted into one another to make a flexible ligament	A series of interconnected rings or links usually made of metal.	1	chain	the interconnected and extensive sequence of waste transportation and disposal
a1u-fragment04 83	1	"For a place so hated, the Pontypool plant looks innocuous inside, like a cross between an oil refinery and a crematorium."	NOUN	13	cross	meet and pass	A geometrical figure consisting of two straight lines or bars intersecting each other such that at least one of them is bisected by the other.	1	hybrid	a combination or mixture of two distinct elements
a1u-fragment04 84	1	"Mr Wheeler, an engineer who worked for many years in the oil business, is a pleasant, slightly worried-looking man who can not bear the fact that no one seems to realise just what lengths he goes to in order to keep the plant squeaky clean and emission-free."	NOUN	33	lengths	a section of something that is long and narrow	The distance measured along the longest dimension of an object.	1	distance	extent of effort or measures taken
a1u-fragment04 102	1	Keith Thomas pressed a button and a huge door clanked upwards so that I could peer into the heart of the furnace.	NOUN	18	heart	an area that is approximately central within some larger region	"A muscular organ that pumps blood through the body, traditionally thought to be the seat of emotion."	1	heart	the central or most intense part of the furnace
a1u-fragment04 108	1	"Right here, in this gaping mouth, lies the end of the chain."	NOUN	5	"mouth,"	the opening through which food is taken in and vocalizations emerge	The opening of a creature through which food is ingested.	1	entrance	the opening at the end of the chain
a1u-fragment04 123	1	"No one could therefore call for the closure of incineration plants at a stroke, because noxious chemicals have to go somewhere."	NOUN	13	"stroke,"	(sports) the act of swinging or striking at a ball with a club or racket or bat or cue or hand	An act of stroking .	1	strike	immediate and decisive action
a1u-fragment04 140	1	"They, too, reacted with water, and a plant operator was burned by a cloud of acid gas."	NOUN	13	cloud	cloud	A visible mass of water droplets suspended in the air.	1	cloud	a dispersed mass of acid gas
a1u-fragment04 148	1	"Back along the waste chain, the Liverpool dockers who objected to the import of exactly this type of chemical should be aware that PCBs are moving about our roads all the time."	NOUN	4	"chain,"	a series of (usually metal) rings or links fitted into one another to make a flexible ligament	A series of interconnected rings or links usually made of metal.	1	chain	a sequence of interconnected events or processes
a1u-fragment04 155	1	"Certainly, Mr Wheeler convinced me that his company was going to huge lengths to keep itself clean."	NOUN	12	lengths	a section of something that is long and narrow	The distance measured along the longest dimension of an object.	1	distance	extensive efforts or measures
ahd-fragment06 49	1	MANY will take it as a further surrender to Common Market bureaucracy that an inspectorate will soon be established to regulate the smell of farm manure.	NOUN	7	surrender	give up or agree to forgo to the power or possession of another	"An act of surrendering, submission into the possession of another; abandonment, resignation."	1	defeat	submission to the demands or control of the Common Market bureaucracy
ahd-fragment06 54	1	"Small children can sometimes be persuaded to eat cow cake in the same way that old people will eat cat food, but the chief result of all this farming was to produce huge food mountains which we could then refuse to give to the Third World, or to the socialists of Eastern Europe, in order to teach them the error of their ways."	NOUN	34	mountains	a land mass that projects well above its surroundings; higher than a hill	"An elevation of land of considerable dimensions rising more or less abruptly, forming a conspicuous figure in the landscape, usually having a small extent of surface at its summit."	1	mountains	excessive stockpiles of food
a5e-fragment06 147	1	"And towering above these stage cliches is, of course, the driven genius whose music can not be stemmed by the forces of reaction."	NOUN	20	forces	a powerful effect or influence	Strength or energy of body or mind; active power; vigour; might; capacity of exercising an influence or producing an effect.	1	tide	the resistance or opposition from conservative or traditional elements
a5e-fragment06 147	1	"And towering above these stage cliches is, of course, the driven genius whose music can not be stemmed by the forces of reaction."	NOUN	22	reaction.	a bodily process occurring due to the effect of some antecedent stimulus or agent	An action or statement in response to a stimulus or other event.	1	force	opposition or resistance to change or progress
a5e-fragment06 160	1	"The most common reason for a biomusical is opportunism: take a star like Judy Garland or John Lennon, and you pick up a hit title and a hit score ready-made."	NOUN	11	star	a performer who receives prominent billing	"Any small luminous dot appearing in the cloudless portion of the night sky, especially with a fixed location relative to other such dots."	1	star	a performer who receives prominent billing
a5e-fragment06 160	1	"The most common reason for a biomusical is opportunism: take a star like Judy Garland or John Lennon, and you pick up a hit title and a hit score ready-made."	NOUN	27	hit	cause to move by striking	A blow; a punch; a striking against; the collision of one body against another; the stroke that touches anything.	1	strike	highly successful title or score
a5e-fragment06 177	1	"All that counts are the records, a rhythmically unusual Tex-Mex fusion of rock'n'roll and older western elements, pioneering what became the standard pop instrumentation of two guitars, bass and drums."	NOUN	10	fusion	an occurrence that involves the production of a union	"The act of merging separate elements, or the result thereof."	1	blending	the merging of rock'n'roll and older western musical elements into a cohesive style
a5e-fragment06 188	1	"Not only are these songs impossible to use dramatically, they're also too vague to use as incidental music, to underline or punctuate aspects of Holly's life or the 1950s more generally."	NOUN	21	punctuate	interrupt periodically	punctuate	1	punctuation	emphasize or highlight aspects of Holly's life or the 1950s
a5e-fragment06 200	1	"And, if Holly's too boring for that, perhaps the best approach would be to write about his impact on others."	NOUN	17	impact	the striking of one body against another	The striking of one body against another; collision.	1	collision	influence or effect on others
kbd-fragment21 8030	1	"that, that just makes the total picture just different altogether."	NOUN	6	picture	a visual representation (of an object or scene or person or abstraction) produced on a surface	"A representation of anything  upon canvas, paper, or other surface, by drawing, painting, printing, photography, etc."	1	painting	overall situation or understanding
kbd-fragment21 8066	1	He's like a ferret!	NOUN	3	ferret!	hunt with ferrets	"An often domesticated mammal  rather like a weasel, descended from the polecat and often trained to hunt burrowing animals."	1	ferret	"someone who is quick, sneaky, or restless in behavior"
kbd-fragment21 8133	1	Bastards stealing our customers last night!	NOUN	0	Bastards	insulting terms of address for people who are stupid or irritating or ridiculous	"A person who was born out of wedlock, and hence often considered an illegitimate descendant."	1	Illegitimate	people who are stupid or irritating or ridiculous
kbd-fragment21 8245	1	I mean it'd be two forty we'd be round the bloody bend!	NOUN	11	bend!	form a curve	A curve.	1	insanity	a state of extreme frustration or irrationality
kbd-fragment21 8260	1	"I mean, you think about all this I mean a load of crap when they have larders and all that!"	NOUN	10	load	weight to be borne or conveyed	A burden; a weight to be carried.	1	weight	a burden or excessive amount of nonsense
kbd-fragment21 8260	1	"I mean, you think about all this I mean a load of crap when they have larders and all that!"	NOUN	12	crap	obscene words for unacceptable behavior	Something worthless or of poor quality; junk.	1	waste	something worthless or of poor quality; junk
kb7-fragment31 11258	1	"Well, it's gon na be a tight old squeeze."	NOUN	8	squeeze.	the act of gripping and pressing firmly	A close or tight fit.	1	grip	a close or tight fit
kb7-fragment31 11326	1	"We've only popped in to see whether you would like a lift into town now, before we go, rather than go into town and then come back just in case you want to"	NOUN	11	lift	raise or haul up with or as if with mechanical help	An act of lifting or raising.	1	elevation	a ride or transportation assistance
kb7-fragment31 11372	1	"She said you'd be the I mean, and family when Wendy and that go and er she they had to with a la carte, oh it cost her a bomb!"	NOUN	29	bomb!	an explosive device fused to explode under specific conditions	An explosive device used or intended as a weapon.	1	explosion	a very high cost or expense
kb7-fragment31 11385	1	Erm it's a load of rubbish anyway!	NOUN	3	load	weight to be borne or conveyed	A burden; a weight to be carried.	1	burden	something worthless or nonsensical
kbh-fragment04 375	1	"Well, I mean he'd done, he's done this first estimate, these are all just polishing touches cos people are obviously interested in, you know they're well keen on our prices."	NOUN	15	touches	"make physical contact with, come in contact with"	"An act of touching, especially with the hand or finger."	1	polishing	minor improvements or final adjustments
kbh-fragment04 388	1	"They, they would love him I mean one of them it was annoying really cos Terry's just not pulling his weight."	NOUN	20	weight.	the vertical force exerted by a mass as a result of gravity	The force on an object due to the gravitational attraction between it and the Earth .	1	burden	contributing one's fair share of effort or responsibility
kbh-fragment04 407	1	"He's got the gall to phone up on Tuesday and say Eileen can't do a day, we're going to be short of Eileen."	NOUN	3	gall	irritate or vex	The gall bladder.	1	bile	audacity or nerve (to do something irritating)
kbh-fragment04 411	1	What's the point of carrying on like that?	NOUN	2	point	mark (Hebrew words) with diacritics	A discrete division of something.	1	tip	purpose or reason for continuing an action
kbh-fragment04 414	1	And if your father is currently taking your side of things worth sounding him out as to how far he'll take	NOUN	8	side	either the left or right half of a body	A bounding straight edge of a two-dimensional shape.	1	edge	perspective or position in a disagreement
kb7-fragment48 13364	1	"I know but it's just, waste of time in it? they'd been better spent to finish the order that they did have, and inject that, ha oh be fair to do that to use though, no doubt they will, pick out all the things we didn't do right bloody should done too many of this or not enough of that"	NOUN	5	waste	any materials unused and rejected as worthless or unwanted	"Excess of material, useless by-products or damaged, unsaleable products; garbage; rubbish."	1	garbage	unproductive or inefficient use of time
kb7-fragment48 13618	1	Yeah and you feel like a bleeding rabbit.	NOUN	7	rabbit.	any of various burrowing animals of the family Leporidae having long ears and short tails; some domesticated and raised for pets or food	"A mammal of the family Leporidae, with long ears, long hind legs and a short, fluffy tail."	1	prey	someone vulnerable or defenseless
kb7-fragment48 13631	1	"I can't make the machine go any bloody quicker, well I can, but I so what's the point in that come and have a look at it and then they said come back and do it when you on the skin, you know the skin bring it forward well it don't go back, it just gets all tangled."	NOUN	17	point	mark (Hebrew words) with diacritics	A discrete division of something.	1	tip	purpose or reason for doing something
kb7-fragment48 13664	1	"At least you keep in touch, some of them get shoved away and they never, nobody don't bother with them do they?"	NOUN	5	"touch,"	the event of something coming in contact with the body	"An act of touching, especially with the hand or finger."	1	contact	maintaining communication or connection with someone
kb7-fragment45 13080	1	if there's any weak stuff then I said	NOUN	4	stuff	miscellaneous unspecified objects	Miscellaneous items or objects;  personal effects.	1	material	miscellaneous items or personal effects
bmw-fragment09 2546	1	"Paula looked every inch a model these days, Arlene thought with a touch of proprietorial pride."	NOUN	12	touch	"make physical contact with, come in contact with"	"An act of touching, especially with the hand or finger."	1	contact	a slight feeling or trace of pride
bmw-fragment09 2547	1	"Her long hair, shining gold, was swept back and caught at the nape of her neck with a bow, make-up, expertly applied, accentuated the classically beautiful lines of her face, and she wore her well-cut suit with all the panache that was expected of her."	NOUN	26	lines	a spatial location defined by a real or imaginary unidimensional extent	"A path through two or more points ; a continuous mark, including as made by a pen; any path, curved or straight."	1	drawing	the contours or features of her face
bmw-fragment09 2551	1	"Perfectly groomed from head to toe and with all that assurance, she was ready to take on the world, Arlene thought with satisfaction, for she looked on Paula as her very own creation."	NOUN	18	"world,"	the 3rd planet from the sun; the planet we live on	"The subjective human experience, regarded collectively. Human collective existence; existence in general."	1	battlefield	the challenges and opportunities of life or society
bmw-fragment09 2551	1	"Perfectly groomed from head to toe and with all that assurance, she was ready to take on the world, Arlene thought with satisfaction, for she looked on Paula as her very own creation."	NOUN	32	creation.	the human act of creating	Something created such as an invention or artwork.	1	artwork	her daughter or protégé (as a product of her influence and effort)
bmw-fragment09 2554	1	eighteen months on the model circuit had eliminated all trace of her former Somerset accent.	NOUN	5	circuit	an electrical device that provides a path for electrical current to flow	"The act of moving or revolving around, or as in a circle or orbit; a revolution"	1	orbit	the continuous and repetitive nature of the model industry's events or engagements
bmw-fragment09 2572	1	In the fitting rooms at Taylors she fussed and fretted over her creations like a mother hen and though Paula was overawed by the great designer she also liked her on sight.	NOUN	15	mother	a woman who has given birth to a child (also used as a term of address to your mother)	A  female who has given birth to a baby.	1	mother	a person who fusses and frets over something with protective or nurturing attention
bmw-fragment09 2572	1	In the fitting rooms at Taylors she fussed and fretted over her creations like a mother hen and though Paula was overawed by the great designer she also liked her on sight.	NOUN	16	hen	hen	"A female chicken , particularly a sexually mature one kept for her eggs."	1	hen	"a protective, fussy, or nurturing person"
bmw-fragment09 2573	1	"Madame Mattli might be a stickler for detail, with a generous helping of the artistic temperament which kept her tight-coiled as a spring and which would explode into frenzy if the smallest detail was not as it should be, but she also had a kind face and deep perceptive eyes."	NOUN	11	helping	give help or assistance; be of service	"A portion or serving, especially of food that one takes for oneself, or to which one helps oneself."	1	portion	a significant or noticeable amount of the artistic temperament
